seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
828.077488225,31.30138323,30.07369184,1.75,68.0,229.60000610351562,1511359751000.0,2017-11-22 11:09:07.986488000
828.388730309,31.30138323,30.07369184,1.75,68.0,229.60000610351562,1511359751000.0,2017-11-22 11:09:08.297730000
828.695573798,31.30138323,30.07369184,1.75,68.0,229.60000610351562,1511359751000.0,2017-11-22 11:09:08.604574000
828.977199319,31.30138323,30.07369184,1.75,68.0,229.60000610351562,1511359751000.0,2017-11-22 11:09:08.886199000
829.267034215,31.30137305,30.07367788,1.75,67.0,223.5,1511359752000.0,2017-11-22 11:09:09.176034000
829.568625413,31.30137305,30.07367788,1.75,67.0,223.5,1511359752000.0,2017-11-22 11:09:09.477625000
829.845432495,31.30137305,30.07367788,1.75,67.0,223.5,1511359752000.0,2017-11-22 11:09:09.754432000
830.134216505,31.30137096,30.07366216,1.75,66.0,209.5,1511359753000.0,2017-11-22 11:09:10.043217000
830.441461505,31.30137096,30.07366216,1.75,66.0,209.5,1511359753000.0,2017-11-22 11:09:10.350462000
830.680502964,31.30137096,30.07366216,1.75,66.0,209.5,1511359753000.0,2017-11-22 11:09:10.589503000
830.996918016,31.30137096,30.07366216,1.75,66.0,209.5,1511359753000.0,2017-11-22 11:09:10.905918000
831.318090829,31.30136511,30.07364476,2.0,65.0,210.6999969482422,1511359754000.0,2017-11-22 11:09:11.227091000
831.632374943,31.30136511,30.07364476,2.0,65.0,210.6999969482422,1511359754000.0,2017-11-22 11:09:11.541375000
831.92933036,31.30136511,30.07364476,2.0,65.0,210.6999969482422,1511359754000.0,2017-11-22 11:09:11.838330000
832.246948693,31.301349,30.07362849,2.25,64.0,215.8000030517578,1511359755000.0,2017-11-22 11:09:12.155949000
832.557906714,31.301349,30.07362849,2.25,64.0,215.8000030517578,1511359755000.0,2017-11-22 11:09:12.466907000
832.847112546,31.301349,30.07362849,2.25,64.0,215.8000030517578,1511359755000.0,2017-11-22 11:09:12.756113000
833.127191661,31.30131986,30.07361198,2.75,64.0,227.6999969482422,1511359756000.0,2017-11-22 11:09:13.036192000
833.440725515,31.30131986,30.07361198,2.75,64.0,227.6999969482422,1511359756000.0,2017-11-22 11:09:13.349726000
833.758843848,31.30131986,30.07361198,2.75,64.0,227.6999969482422,1511359756000.0,2017-11-22 11:09:13.667844000
834.069644577,31.30128142,30.07359866,3.25,64.0,243.1999969482422,1511359757000.0,2017-11-22 11:09:13.978645000
834.387115307,31.30128142,30.07359866,3.25,64.0,243.1999969482422,1511359757000.0,2017-11-22 11:09:14.296115000
834.707485827,31.30128142,30.07359866,3.25,64.0,243.1999969482422,1511359757000.0,2017-11-22 11:09:14.616486000
835.016954265,31.30128142,30.07359866,3.25,64.0,243.1999969482422,1511359757000.0,2017-11-22 11:09:14.925954000
